sequence,x,y,z,heading,roll,pitch
1568104742124659072,15.141076532704211,-47.407430714833474,0,1.4793252061297653,0,0
1568104742134632531,15.142802180574563,-47.388502492035364,0,1.480429007292045,0,0
1568104742144541282,15.144507145821981,-47.369573262997875,0,1.481502457318945,0,0
1568104742154716607,15.146248305849829,-47.35000652278143,0,1.4825812188220577,0,0
1568104742163820931,15.14779803103487,-47.33238925608416,0,1.4835265893818792,0,0
1568104742173784757,15.14948536779517,-47.31298988928106,0,1.4845401450734659,0,0
1568104742184977481,15.151370175693502,-47.29104986112599,0,1.4856529804005625,0,0
1568104742194692621,15.152997209875886,-47.271879407041226,0,1.4865972845868076,0,0
1568104742204575995,15.154644041731638,-47.25225624315618,0,1.4875377349845336,0,0
1568104742214672916,15.156317894171144,-47.23208350499468,0,1.4884778646894872,0,0
1568104742224659111,15.157965042331327,-47.21200731344885,0,1.4893875599355575,0,0
1568104742234726879,15.159617406587728,-47.19164179098806,0,1.4902848158004722,0,0
1568104742244740147,15.16125278522686,-47.17126185843004,0,1.4911578017158686,0,0
1568104742255009205,15.162921782739687,-47.15023237700182,0,1.4920333633580607,0,0
1568104742264775549,15.164501572313075,-47.13011140883502,0,1.4928478792535993,0,0
1568104742275018494,15.166150765553587,-47.10888199950746,0,1.4936834553726663,0,0
1568104742284824743,15.167722429321708,-47.08843646978302,0,1.4944658092832008,0,0
1568104742294937089,15.16933592207083,-47.06722873513784,0,1.4952548867997655,0,0
1568104742304776333,15.170898952291918,-47.04647306016877,0,1.4960057176619215,0,0
1568104742314829187,15.172489063221887,-47.02514400418825,0,1.4967559088093578,0,0
1568104742324719697,15.174046895706443,-47.004038455082124,0,1.4974775733985297,0,0
1568104742334836747,15.175633802875351,-46.98232555547961,0,1.4981992269397097,0,0
1568104742344794045,15.177189290520461,-46.96083329812223,0,1.4988934405480518,0,0
1568104742354862165,15.178755838754835,-46.93897873889379,0,1.4995794828753348,0,0
1568104742364812678,15.180298073836841,-46.91725801539167,0,1.500242079049859,0,0
1568104742375043622,15.181877708983837,-46.89479943491313,0,1.5009076324132478,0,0
1568104742384794573,15.183377670408953,-46.87327605389855,0,1.501527384901783,0,0
1568104742394944745,15.184933440118549,-46.850748826279855,0,1.5021576596756907,0,0
1568104742404722577,15.18642689204197,-46.82892982954677,0,1.5027507290623423,0,0
1568104742414826794,15.187964949624089,-46.8062608838095,0,1.5033493192054044,0,0
1568104742424624531,15.189451420471746,-46.78416163684267,0,1.5039161262328402,0,0
1568104742434909014,15.191006681248924,-46.7608398179791,0,1.504496900683544,0,0
1568104742444723712,15.192486229431012,-46.738464385729706,0,1.505037815152552,0,0
1568104742454819065,15.194003492699629,-46.71532811118232,0,1.5055808391474779,0,0
1568104742464680358,15.195481240465666,-46.6926099364207,0,1.5060984062546678,0,0
1568104742474852099,15.197001185261877,-46.669054229704926,0,1.506619161456944,0,0
1568104742484722448,15.198472056032738,-46.64607789488564,0,1.5071119678472453,0,0
1568104742494686594,15.199953031866178,-46.622764908255185,0,1.5075971509189712,0,0
1568104742504658996,15.201431500276826,-46.59931375636136,0,1.5080705516886141,0,0
1568104742514996250,15.202960289393049,-46.574879294519036,0,1.5085486110631814,0,0
1568104742524662876,15.204386583038051,-46.55191475238143,0,1.5089841776628303,0,0
1568104742534124563,15.20577968013877,-46.52932934443542,0,1.509399930955914,0,0
1568104742544160713,15.207254315427427,-46.50525635560897,0,1.5098296608025257,0,0
1568104742554033686,15.208702074811814,-46.48145809338154,0,1.5102412579115123,0,0
1568104742564145072,15.210181978512493,-46.45696537862791,0,1.5106515115732602,0,0
1568104742574018941,15.211624529174529,-46.43293120358167,0,1.5110412768117547,0,0
1568104742584063508,15.2130895558023,-46.40836328251473,0,1.511426944268737,0,0
1568104742594031526,15.214541124226702,-46.383864861097194,0,1.511799029761339,0,0
1568104742604026970,15.215994555300727,-46.35918143976279,0,1.512161651760625,0,0
1568104742614103537,15.2174577874332,-46.33417866643865,0,1.5125167444923062,0,0
1568104742623966622,15.218888239771166,-46.30959003712553,0,1.5128542808075742,0,0
1568104742634191358,15.220369452383038,-46.28397929734414,0,1.5131938689054607,0,0
1568104742644077932,15.22180020267502,-46.25909908260765,0,1.5135123758579225,0,0
1568104742654765060,15.2233453601493,-46.23207558754249,0,1.5138459423610415,0,0
1568104742663909163,15.224666379053609,-46.208847852686745,0,1.5141226231455214,0,0
1568104742673872093,15.226104747173055,-46.183429097509446,0,1.5144150503551168,0,0
