sequence,x,y,z,heading,roll,pitch
1568104737520481823,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737528002063,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737536818660,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737567536838,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737575707833,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737585748079,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737675729057,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737685737077,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737705345064,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737745381690,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737755602297,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737765497128,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737785339911,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737795754513,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737805037375,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737815255710,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737835245286,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737855647011,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737875512387,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737885408114,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737895443432,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737905360599,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737925409282,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737935490778,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737945278786,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737965414737,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737985350102,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104737995558741,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104738005170420,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104738035335577,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104738055542475,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
1568104738065450266,15.018687697891396,-48.33382396698141,0.0,1.3819690098603117,0.0,0.0
