sequence,x,y,z,heading,roll,pitch
1517161703981258291,-294.65518341539087,-631.5602622085906,0,1.4806067365834603,0,0
1517161704014578250,-294.64515839686453,-631.4493713129419,0,1.4806676906568679,0,0
1517161704046413814,-294.6354954871259,-631.3424134976573,0,1.4807280226646709,0,0
1517161704081012334,-294.62490042841534,-631.2250539201236,0,1.4807958394373262,0,0
1517161704114544655,-294.61453903398876,-631.1101955478574,0,1.4808637328628478,0,0
1517161704148150677,-294.6040632992372,-630.9939800598517,0,1.480933848556984,0,0
1517161704181398920,-294.5936089981717,-630.8779105232384,0,1.4810051974532579,0,0
1517161704215051536,-294.58293641273536,-630.7593208970693,0,1.4810793578053494,0,0
1517161704248088057,-294.57237014386203,-630.6418146730973,0,1.4811540046545844,0,0
1517161704279928837,-294.5621029053403,-630.5275389404628,0,1.481227627015111,0,0
1517161704313795512,-294.55109266575545,-630.404887770761,0,1.4813076863229049,0,0
1517161704349120340,-294.539509933011,-630.2757392203622,0,1.4813930587089852,0,0
1517161704380742421,-294.52905614911526,-630.1590714162753,0,1.4814710492385403,0,0
1517161704414513251,-294.5178033076475,-630.0333707073397,0,1.4815559239185958,0,0
1517161704448595713,-294.506353844383,-629.9053495414944,0,1.4816431912437598,0,0
1517161704481422911,-294.4952380586957,-629.7809381963807,0,1.4817287265085965,0,0
1517161704514158328,-294.4840674659807,-629.6557918421878,0,1.4818154270612869,0,0
1517161704548406366,-294.47228902496335,-629.5237022477307,0,1.4819075896524843,0,0
1517161704581624912,-294.4607751892931,-629.39444642699,0,1.4819983609542435,0,0
1517161704615093935,-294.44908556507346,-629.2630807538392,0,1.4820911481782866,0,0
1517161704647894603,-294.4375428385313,-629.1332298477413,0,1.4821833401216886,0,0
1517161704680684168,-294.42591850846946,-629.0023232202399,0,1.482276707780008,0,0
1517161704714288077,-294.4139168891089,-628.8670216743878,0,1.4823736086145358,0,0
1517161704748270950,-294.40168883856177,-628.7290136727361,0,1.4824728142293837,0,0
1517161704781450069,-294.3896617471142,-628.5931213119052,0,1.4825708133031879,0,0
1517161704815590614,-294.3771952423254,-628.4521035180159,0,1.4826727914273685,0,0
1517161704848354065,-294.3651449989875,-628.3156380874925,0,1.4827717096040207,0,0
1517161704881707146,-294.35279089768164,-628.1755711802551,0,1.48287343525895,0,0
1517161704914896314,-294.3404104985606,-628.0350423763895,0,1.4829756584978055,0,0
1517161704948293525,-294.3278649932815,-627.8924714352082,0,1.4830794961116542,0,0
1517161704980197508,-294.315798542468,-627.7551843065686,0,1.483179575471682,0,0
1517161705014965157,-294.3025580493728,-627.6043577462,0,1.4832895915029642,0,0
1517161705046682922,-294.2903963850823,-627.4656523003,0,1.483390797852097,0,0
1517161705081088152,-294.27711520716355,-627.3139940058372,0,1.4835014584661166,0,0
1517161705114170819,-294.26425728878326,-627.166984626177,0,1.4836087011733965,0,0
1517161705147949074,-294.2510408545404,-627.0156865868619,0,1.4837190175699473,0,0
1517161705181531318,-294.2378129188183,-626.8640638038876,0,1.483829488102694,0,0
1517161705214684677,-294.22466777325707,-626.7131980727537,0,1.4839393000368326,0,0
1517161705248241992,-294.2112754133852,-626.5592978017077,0,1.4840511869089208,0,0
1517161705280746613,-294.1982197848543,-626.4090749715964,0,1.4841602484369971,0,0
1517161705314766352,-294.1844678337165,-626.2506343557666,0,1.4842750919604966,0,0
1517161705348121417,-294.1708975283942,-626.0940792618223,0,1.4843883628968724,0,0
1517161705381216564,-294.1573479079242,-625.9375569507221,0,1.4845013866787513,0,0
1517161705414430694,-294.143664501177,-625.7792800272758,0,1.4846154326066765,0,0
1517161705448452192,-294.12956023849154,-625.615914684366,0,1.4847328693488515,0,0
1517161705480946510,-294.1160058315853,-625.458707038871,0,1.4848455998072567,0,0
1517161705514415052,-294.1019601093301,-625.2955823622013,0,1.4849622683390533,0,0
1517161705548168473,-294.0877076548108,-625.1298289733286,0,1.4850804845888097,0,0
1517161705581195777,-294.07367717661845,-624.9664327616621,0,1.4851966786986095,0,0
1517161705614381938,-294.0594950138867,-624.8010435813287,0,1.4853139331268832,0,0
1517161705647708649,-294.0451679617302,-624.6337333027321,0,1.4854321727781334,0,0
1517161705681089411,-294.03073257643086,-624.4649224538342,0,1.4855510781426624,0,0
1517161705714270227,-294.0162993685375,-624.2959005812187,0,1.4856697250230348,0,0
1517161705747722929,-294.0016629376652,-624.1242571827526,0,1.4857897814605718,0,0
1517161705781266931,-293.98690101367174,-623.9508969643621,0,1.4859085288957141,0,0
1517161705814689007,-293.9721076187156,-623.7769266320421,0,1.486023569614902,0,0
1517161705881744722,-293.9421711690241,-623.4241673362457,0,1.486244826592303,0,0
1517161705914558224,-293.9273974594991,-623.2497454433588,0,1.4863485938640084,0,0
1517161705948347039,-293.91209928527337,-623.0689083526938,0,1.4864524461769986,0,0
1517161705981318020,-293.8970879743421,-622.8912483043139,0,1.4865509168602364,0,0
1517161706015063633,-293.8816387217167,-622.7081909150883,0,1.486648833133592,0,0
1517161706079731963,-293.8517917944671,-622.3539461518069,0,1.486828600274313,0,0
1517161706114029987,-293.8358336353596,-622.1642376931223,0,1.4869198635858363,0,0
1517161706148039037,-293.81992220812657,-621.9748818601983,0,1.487007645324381,0,0
1517161706181486491,-293.8041883924767,-621.7874470867099,0,1.4870913995180295,0,0
1517161706215651965,-293.78802971648537,-621.5947582987753,0,1.4871743683113787,0,0
1517161706249929124,-293.77172982628406,-621.4001944046993,0,1.4872550400291527,0,0
1517161706280576596,-293.7570810528846,-621.2251807305164,0,1.4873250351725815,0,0
1517161706314698675,-293.74068834856996,-621.0291599563271,0,1.4874006431945583,0,0
1517161706414584053,-293.69219907536745,-620.4483317562688,0,1.4876083608297832,0,0
1517161706448120535,-293.67575088027144,-620.2509864449215,0,1.487673701624207,0,0
1517161706481517138,-293.6592874947976,-620.0533057118242,0,1.4877366424470528,0,0
1517161706514802023,-293.64279604271786,-619.855139921711,0,1.4877973007785013,0,0
1517161706548087260,-293.6262214751684,-619.6558315716792,0,1.4878559303195182,0,0
1517161706581178248,-293.60966147813036,-619.4565597805366,0,1.4879122434943526,0,0
1517161706614610788,-293.59284742720604,-619.2540944269805,0,1.4879671758379835,0,0
1517161706647855447,-293.57604507492476,-619.0516378513541,0,1.4880198796807127,0,0
1517161706681482302,-293.5589656296376,-618.8457124583758,0,1.4880712773387554,0,0
1517161706714468068,-293.5421298539372,-618.642601732545,0,1.4881198602342407,0,0
1517161706748913236,-293.5244626475504,-618.4293342284385,0,1.4881686878333034,0,0
1517161706781058064,-293.5078955917423,-618.2292344336734,0,1.4882125299474396,0,0
1517161706814359206,-293.49065148418697,-618.0208461528803,0,1.4882562236975938,0,0
1517161706847527765,-293.47339404863726,-617.8121882893158,0,1.488298027682696,0,0
1517161706881039510,-293.45587502311946,-617.6002613654437,0,1.488338554803344,0,0
1517161706947777993,-293.4207376040979,-617.1749020296448,0,1.4884142607218669,0,0
1517161706981013724,-293.4031159651227,-616.9614384661018,0,1.4884495322394662,0,0
1517161707014215757,-293.38543046941476,-616.7471112785785,0,1.4884831899695503,0,0
1517161707046334599,-293.368244277935,-616.5387528020892,0,1.4885142727090144,0,0
1517161707080813209,-293.3497104739934,-616.3139701339587,0,1.488546048504526,0,0
1517161707113470798,-293.33207450123064,-616.0999977600948,0,1.4885746511553595,0,0
1517161707148046181,-293.31331700036526,-615.8723384525429,0,1.4886033738101727,0,0
1517161707214257533,-293.27715040461646,-615.4331705320382,0,1.4886539920333788,0,0
1517161707248329562,-293.2584132931265,-615.2055448212353,0,1.4886778406640586,0,0
1517161707281367651,-293.2401631165799,-614.9837728037793,0,1.4886995671159544,0,0
1517161707314522257,-293.2217678127623,-614.7601795650438,0,1.4887200065872803,0,0
1517161707347811271,-293.2032165968137,-614.5346365735206,0,1.488739174687193,0,0
1517161707381225091,-293.18451392885527,-614.3072006650957,0,1.4887570698437693,0,0
1517161707414410163,-293.1658581451862,-614.0802871907608,0,1.4887735281200047,0,0
1517161707447302164,-293.14728737212016,-613.8543641577173,0,1.4887885667743852,0,0
1517161707481148070,-293.12809520795264,-613.6208397997937,0,1.4888027358315663,0,0
1517161707514424699,-293.1091440167994,-613.3902096488697,0,1.4888153933528572,0,0
1517161707548504152,-293.08965157867124,-613.1529573184447,0,1.4888270659781193,0,0
1517161707581388697,-293.07076203648467,-612.9230125738106,0,1.4888371084164118,0,0
1517161707614778356,-293.0515014567005,-612.6885237967884,0,1.4888460947540805,0,0
1517161707680892967,-293.0131234881093,-612.2212212759734,0,1.488860353154097,0,0
1517161707748339070,-292.97364407268253,-611.7404362464141,0,1.4888701623982854,0,0
1517161707780959346,-292.95443096832685,-611.5064391906524,0,1.4888732267661275,0,0
1517161707814649435,-292.9345064566063,-611.2637702813123,0,1.4888752612496958,0,0
1517161707848983398,-292.9141162284402,-611.0154247340646,0,1.4888761675873214,0,0
1517161707881342028,-292.89482069593646,-610.7804112145727,0,1.4888759566719187,0,0
1517161707913097460,-292.87581093014677,-610.5488802589721,0,1.4888747568125587,0,0
1517161707946565650,-292.8556966567087,-610.3039021233649,0,1.4888724401157996,0,0
1517161707980023120,-292.835507647133,-610.0580223481965,0,1.4888690575048313,0,0
1517161708013812671,-292.8150359367252,-609.8087116151825,0,1.4888645716194038,0,0
1517161708046487766,-292.79516081479017,-609.5666809304827,0,1.4888592230743363,0,0
1517161708079832302,-292.7747988670059,-609.3187398474291,0,1.4888527521694892,0,0
1517161708113149317,-292.7543734494018,-609.0700471761448,0,1.4888452762281363,0,0
1517161708146602338,-292.7337839784235,-608.8193816119315,0,1.4888367649044816,0,0
1517161708180500599,-292.71283807821555,-608.5644050770021,0,1.4888271245248648,0,0
1517161708213626628,-292.6922892775296,-608.3142931994585,0,1.4888167266801606,0,0
1517161708246603690,-292.6717543332722,-608.0643832057082,0,1.4888054265180768,0,0
1517161708279952322,-292.6509083676014,-607.8107248816843,0,1.4887930461217473,0,0
1517161708313381279,-292.62993187335053,-607.5555184995022,0,1.4887796841709389,0,0
1517161708346407687,-292.6091290685452,-607.302467885683,0,1.488765556973362,0,0
1517161708381490487,-292.5869451347528,-607.032666620235,0,1.488749552210333,0,0
1517161708413702166,-292.5664988859385,-606.7840472327912,0,1.48873396102116,0,0
1517161708448048225,-292.5446158499011,-606.5180109613605,0,1.488716401055845,0,0
1517161708513338891,-292.502783850746,-606.0096168005568,0,1.4886803913780688,0,0
1517161708547286530,-292.48091286314434,-605.7439053141187,0,1.4886603242020882,0,0
1517161708581204951,-292.4589783830522,-605.4774892994911,0,1.488639367345272,0,0
1517161708614426185,-292.437415062622,-605.2156492041859,0,1.4886179706151446,0,0
1517161708647826916,-292.4156557827988,-604.9515002768136,0,1.488595597595025,0,0
